module_hash,module_name,design_name,dataset_name,unique_count
e099cd09066876736a430fa090b15b3e3b5e290e14c08867d940230314e31a1b,DFF,iscas89__S953,iscas89,30
e099cd09066876736a430fa090b15b3e3b5e290e14c08867d940230314e31a1b,DFF,iscas89__S9234,iscas89,30
e099cd09066876736a430fa090b15b3e3b5e290e14c08867d940230314e31a1b,DFF,iscas89__S838,iscas89,30
e099cd09066876736a430fa090b15b3e3b5e290e14c08867d940230314e31a1b,DFF,iscas89__S832,iscas89,30
e099cd09066876736a430fa090b15b3e3b5e290e14c08867d940230314e31a1b,DFF,iscas89__S820,iscas89,30
e099cd09066876736a430fa090b15b3e3b5e290e14c08867d940230314e31a1b,DFF,iscas89__S713,iscas89,30
e099cd09066876736a430fa090b15b3e3b5e290e14c08867d940230314e31a1b,DFF,iscas89__S641,iscas89,30
e099cd09066876736a430fa090b15b3e3b5e290e14c08867d940230314e31a1b,DFF,iscas89__S5378,iscas89,30
e099cd09066876736a430fa090b15b3e3b5e290e14c08867d940230314e31a1b,DFF,iscas89__S526N,iscas89,30
e099cd09066876736a430fa090b15b3e3b5e290e14c08867d940230314e31a1b,DFF,iscas89__S526,iscas89,30
e099cd09066876736a430fa090b15b3e3b5e290e14c08867d940230314e31a1b,DFF,iscas89__S510,iscas89,30
e099cd09066876736a430fa090b15b3e3b5e290e14c08867d940230314e31a1b,DFF,iscas89__S444,iscas89,30
e099cd09066876736a430fa090b15b3e3b5e290e14c08867d940230314e31a1b,DFF,iscas89__S420,iscas89,30
e099cd09066876736a430fa090b15b3e3b5e290e14c08867d940230314e31a1b,DFF,iscas89__S400,iscas89,30
e099cd09066876736a430fa090b15b3e3b5e290e14c08867d940230314e31a1b,DFF,iscas89__S386,iscas89,30
e099cd09066876736a430fa090b15b3e3b5e290e14c08867d940230314e31a1b,DFF,iscas89__S38584,iscas89,30
e099cd09066876736a430fa090b15b3e3b5e290e14c08867d940230314e31a1b,DFF,iscas89__S38417,iscas89,30
e099cd09066876736a430fa090b15b3e3b5e290e14c08867d940230314e31a1b,DFF,iscas89__S382,iscas89,30
