dataset_name,design_name,file_name,tokenizer,num_tokens
adders_cvut,adders_cvut__01_adder,01_adder.v,cl100k_base,348
adders_cvut,adders_cvut__02_adder,02_adder.v,cl100k_base,637
adders_cvut,adders_cvut__03_adder,03_adder.v,cl100k_base,926
adders_cvut,adders_cvut__04_adder,04_adder.v,cl100k_base,1215
adders_cvut,adders_cvut__05_adder,05_adder.v,cl100k_base,1504
adders_cvut,adders_cvut__06_adder,06_adder.v,cl100k_base,1793
adders_cvut,adders_cvut__07_adder,07_adder.v,cl100k_base,2083
adders_cvut,adders_cvut__08_adder,08_adder.v,cl100k_base,2372
adders_cvut,adders_cvut__09_adder,09_adder.v,cl100k_base,2661
adders_cvut,adders_cvut__10_adder,10_adder.v,cl100k_base,2950
adders_cvut,adders_cvut__11_adder,11_adder.v,cl100k_base,3239
adders_cvut,adders_cvut__12_adder,12_adder.v,cl100k_base,3528
adders_cvut,adders_cvut__13_adder,13_adder.v,cl100k_base,3817
adders_cvut,adders_cvut__14_adder,14_adder.v,cl100k_base,4107
adders_cvut,adders_cvut__15_adder,15_adder.v,cl100k_base,4396
adders_cvut,adders_cvut__16_adder,16_adder.v,cl100k_base,4685
deepbenchverilog,deepbenchverilog__GEMM_1760_128_1760_N_N_Core_220_128_220,matrix_multiply_full.v,cl100k_base,134064
deepbenchverilog,deepbenchverilog__GEMM_1760_128_1760_N_N_Core_220_128_220,matrix_multiply_tbkb.v,cl100k_base,456
deepbenchverilog,deepbenchverilog__GEMM_1760_128_1760_N_N_Core_220_128_220,matrix_multiply_tcud.v,cl100k_base,456
deepbenchverilog,deepbenchverilog__GEMM_1760_128_1760_N_N_Core_220_128_220,matrix_multiply_tdEe.v,cl100k_base,448
deepbenchverilog,deepbenchverilog__GEMM_1760_128_1760_N_N_Core_220_128_220,matrix_multiply_tdLJ.v,cl100k_base,448
deepbenchverilog,deepbenchverilog__GEMM_1760_128_1760_N_N_Core_220_128_220,matrix_multiply_thjb.v,cl100k_base,446
deepbenchverilog,deepbenchverilog__GEMM_1760_128_1760_N_N_Core_220_128_220,matrix_multiply_top.v,cl100k_base,261862
deepbenchverilog,deepbenchverilog__GEMM_1760_128_1760_N_N_Core_352_128_352_extra,matrix_multiply_full.v,cl100k_base,208928
deepbenchverilog,deepbenchverilog__GEMM_1760_128_1760_N_N_Core_352_128_352_extra,matrix_multiply_tbkb.v,cl100k_base,456
deepbenchverilog,deepbenchverilog__GEMM_1760_128_1760_N_N_Core_352_128_352_extra,matrix_multiply_tcud.v,cl100k_base,456
deepbenchverilog,deepbenchverilog__GEMM_1760_128_1760_N_N_Core_352_128_352_extra,matrix_multiply_tdEe.v,cl100k_base,448
deepbenchverilog,deepbenchverilog__GEMM_1760_128_1760_N_N_Core_352_128_352_extra,matrix_multiply_tfT5.v,cl100k_base,448
deepbenchverilog,deepbenchverilog__GEMM_1760_128_1760_N_N_Core_352_128_352_extra,matrix_multiply_tlzb.v,cl100k_base,446
deepbenchverilog,deepbenchverilog__GEMM_1760_128_1760_N_N_Core_352_128_352_extra,matrix_multiply_top.v,cl100k_base,423068
deepbenchverilog,deepbenchverilog__GEMM_2560_64_2560_N_N_Core_256_64_256,matrix_multiply_full.v,cl100k_base,154314
deepbenchverilog,deepbenchverilog__GEMM_2560_64_2560_N_N_Core_256_64_256,matrix_multiply_tbkb.v,cl100k_base,456
deepbenchverilog,deepbenchverilog__GEMM_2560_64_2560_N_N_Core_256_64_256,matrix_multiply_tcud.v,cl100k_base,444
deepbenchverilog,deepbenchverilog__GEMM_2560_64_2560_N_N_Core_256_64_256,matrix_multiply_tekP.v,cl100k_base,448
deepbenchverilog,deepbenchverilog__GEMM_2560_64_2560_N_N_Core_256_64_256,matrix_multiply_tisb.v,cl100k_base,450
